DATE,INDPRO
11/1/1946,13.8187
12/1/1946,13.9018
1/1/1947,14.0679
2/1/1947,14.151
3/1/1947,14.2341
4/1/1947,14.1233
5/1/1947,14.1787
6/1/1947,14.1787
7/1/1947,14.0956
8/1/1947,14.1787
9/1/1947,14.2895
10/1/1947,14.4279
11/1/1947,14.6218
12/1/1947,14.6772
1/1/1948,14.7603
2/1/1948,14.788
3/1/1948,14.6218
4/1/1948,14.6495
5/1/1948,14.8987
6/1/1948,15.0926
7/1/1948,15.0926
8/1/1948,15.0372
9/1/1948,14.9264
10/1/1948,15.0372
11/1/1948,14.8433
12/1/1948,14.7049
1/1/1949,14.5664
2/1/1949,14.428
3/1/1949,14.151
4/1/1949,14.0679
5/1/1949,13.8741
6/1/1949,13.8464
7/1/1949,13.8187
8/1/1949,13.9572
9/1/1949,14.0956
10/1/1949,13.5695
11/1/1949,13.9295
12/1/1949,14.1787
1/1/1950,14.4279
2/1/1950,14.4833
3/1/1950,14.9541
4/1/1950,15.4526
5/1/1950,15.8126
6/1/1950,16.2834
7/1/1950,16.8095
8/1/1950,17.3357
9/1/1950,17.2249
10/1/1950,17.3357
11/1/1950,17.308
12/1/1950,17.6126
1/1/1951,17.668
2/1/1951,17.7788
3/1/1951,17.8618
4/1/1951,17.8895
5/1/1951,17.8342
6/1/1951,17.7511
7/1/1951,17.4741
8/1/1951,17.308
9/1/1951,17.4188
10/1/1951,17.3911
11/1/1951,17.5295
12/1/1951,17.6403
1/1/1952,17.8341
2/1/1952,17.9449
3/1/1952,18.0003
4/1/1952,17.8341
5/1/1952,17.668
6/1/1952,17.5018
7/1/1952,17.2249
8/1/1952,18.3326
9/1/1952,18.9972
10/1/1952,19.1911
11/1/1952,19.5788
12/1/1952,19.6896
1/1/1953,19.7449
2/1/1953,19.8557
3/1/1953,20.0219
4/1/1953,20.105
5/1/1953,20.2157
6/1/1953,20.1326
7/1/1953,20.3819
8/1/1953,20.2711
9/1/1953,19.8557
10/1/1953,19.6896
11/1/1953,19.2188
12/1/1953,18.748
1/1/1954,18.6095
2/1/1954,18.6649
3/1/1954,18.5542
4/1/1954,18.4434
5/1/1954,18.5542
6/1/1954,18.6096
7/1/1954,18.6372
8/1/1954,18.6095
9/1/1954,18.6372
10/1/1954,18.8588
11/1/1954,19.1634
12/1/1954,19.4126
1/1/1955,19.8557
2/1/1955,20.105
3/1/1955,20.5757
4/1/1955,20.825
5/1/1955,21.1573
6/1/1955,21.185
7/1/1955,21.3511
8/1/1955,21.3234
9/1/1955,21.4619
10/1/1955,21.8219
11/1/1955,21.8773
12/1/1955,21.9604
1/1/1956,22.0988
2/1/1956,21.905
3/1/1956,21.905
4/1/1956,22.0712
5/1/1956,21.8773
6/1/1956,21.6835
7/1/1956,21.0188
8/1/1956,21.8773
9/1/1956,22.3758
10/1/1956,22.5696
11/1/1956,22.3758
12/1/1956,22.7081
1/1/1957,22.625
2/1/1957,22.8466
3/1/1957,22.8189
4/1/1957,22.5142
5/1/1957,22.4312
6/1/1957,22.4866
7/1/1957,22.625
8/1/1957,22.625
9/1/1957,22.4312
10/1/1957,22.0988
11/1/1957,21.5727
12/1/1957,21.1573
1/1/1958,20.7696
2/1/1958,20.3265
3/1/1958,20.0773
4/1/1958,19.745
5/1/1958,19.9388
6/1/1958,20.465
7/1/1958,20.7696
8/1/1958,21.185
9/1/1958,21.3788
10/1/1958,21.6281
11/1/1958,22.265
12/1/1958,22.2927
1/1/1959,22.625
2/1/1959,23.0681
3/1/1959,23.4004
4/1/1959,23.8989
5/1/1959,24.2589
6/1/1959,24.2866
7/1/1959,23.705
8/1/1959,22.9019
9/1/1959,22.8743
10/1/1959,22.7081
11/1/1959,22.8466
12/1/1959,24.2589
1/1/1960,24.8958
2/1/1960,24.6743
3/1/1960,24.4528
4/1/1960,24.2589
5/1/1960,24.2312
6/1/1960,23.9266
7/1/1960,23.8435
8/1/1960,23.8158
9/1/1960,23.5666
10/1/1960,23.5389
11/1/1960,23.2066
12/1/1960,22.7635
1/1/1961,22.7912
2/1/1961,22.7635
3/1/1961,22.902
4/1/1961,23.3727
5/1/1961,23.7327
6/1/1961,24.065
7/1/1961,24.342
8/1/1961,24.5635
9/1/1961,24.5358
10/1/1961,25.0066
11/1/1961,25.3943
12/1/1961,25.6158
1/1/1962,25.3943
2/1/1962,25.8097
3/1/1962,25.9482
4/1/1962,26.0035
5/1/1962,25.9758
6/1/1962,25.9205
7/1/1962,26.1697
8/1/1962,26.1974
9/1/1962,26.3635
10/1/1962,26.3912
11/1/1962,26.502
12/1/1962,26.502
1/1/1963,26.6958
2/1/1963,27.0005
3/1/1963,27.1666
4/1/1963,27.4159
5/1/1963,27.7482
6/1/1963,27.8313
7/1/1963,27.7205
8/1/1963,27.7759
9/1/1963,28.0528
10/1/1963,28.2466
11/1/1963,28.3851
12/1/1963,28.3297
1/1/1964,28.579
2/1/1964,28.7728
3/1/1964,28.7728
4/1/1964,29.2436
5/1/1964,29.4098
6/1/1964,29.4928
7/1/1964,29.6867
8/1/1964,29.8805
9/1/1964,29.9913
10/1/1964,29.5759
11/1/1964,30.4898
12/1/1964,30.8498
1/1/1965,31.1821
2/1/1965,31.376
3/1/1965,31.7913
4/1/1965,31.9298
5/1/1965,32.179
6/1/1965,32.4283
7/1/1965,32.7329
8/1/1965,32.8713
9/1/1965,32.9544
10/1/1965,33.2868
11/1/1965,33.4252
12/1/1965,33.8406
1/1/1966,34.1729
2/1/1966,34.3945
3/1/1966,34.8652
4/1/1966,34.9206
5/1/1966,35.2529
6/1/1966,35.4191
7/1/1966,35.6129
8/1/1966,35.6406
