year,month,excessequity,excessequity3mo,log_e_eom,log_q_eom,cip_govt_3m_2020,diffy_3m_2020,log_ip_oecd_USD,diff_log_ip
1992,3,-5.0942469,-9.1942348,-10.104797,2.1789069,.88075972,5.4249997,2.257844,-2.2803209
1992,6,-4.1617074,-.23947041,-16.597197,-4.3446302,.58834881,4.3299999,3.3530347,-3.4607074
1992,9,-1.3224038,.10230984,-17.943834,-5.3226905,-.1509935,3.5699999,3.9914691,-4.0177102
1992,12,.50669879,-1.204972,-4.0213923,9.2192259,.07270553,2.5066667,5.2535181,-7.3145895
1993,3,5.1646323,6.8847084,-4.5731926,8.2236986,.28515208,1.7933334,5.9880238,-7.4246182
1993,6,-1.0845643,4.7939701,-3.4246283,9.6894417,.093534291,1.3233334,6.1560812,-7.9084768
1993,9,-2.1019938,3.6936371,-2.2431381,10.866638,.13169059,1.1933333,6.8361998,-6.1612759
1993,12,4.8694892,1.5869113,.6017319,14.590528,.10994621,.49000001,8.5601778,-8.330862
1994,3,-5.0241408,-.90219444,-2.4991424,11.622719,.10582192,1.574,9.9679203,-6.5545454
1994,6,-.986525,1.3616503,-5.8723288,8.3236189,.71050078,1.2460001,11.679956,-5.4929409
1994,9,-2.9195969,1.7468998,-7.6467366,6.9899788,.67959696,.75799996,12.806078,-6.1038532
1994,12,-.23880252,-3.2804675,-6.8872161,7.9953327,.44164971,.20600002,15.308482,-5.1390362
1995,3,4.1620741,1.9724118,-13.21013,1.6389025,.11329708,.65399992,15.472351,-5.4695425
1995,6,-.38067994,3.5120683,-14.019302,1.0299834,.34643799,.47599998,16.08634,-6.3590612
1995,9,2.3193483,3.8336527,-11.73743,3.4861996,.31677425,.063999981,17.342306,-7.3285713
1995,12,2.4851456,2.93575,-11.170292,4.5114608,.36819729,-.078000031,17.851467,-5.8514338
1996,3,1.1934391,2.8424921,-9.4673157,6.7884579,-.14042471,-.824,18.63006,-7.5565863
1996,6,.18769833,1.9722608,-8.8102655,7.793859,.28832519,-1.1,21.111845,-9.1359434
1996,9,3.2375612,-.23157215,-8.6286545,8.2738504,.33371875,-1.462,22.246542,-9.4681759
1996,12,-1.8991401,2.7830284,-9.1966352,8.2560701,.10592499,-1.916,23.713835,-10.492653
1997,3,-2.3876338,-.3241393,-3.763171,13.757446,-.039946862,-2.154,25.725351,-10.952774
1997,6,4.6819172,12.810306,-2.369194,14.532928,.21666917,-1.766,26.819107,-11.180612
1997,9,4.7976332,1.0657845,-1.5285561,15.543029,.1339805,-1.6799999,29.502766,-13.361172
1997,12,.86174381,-4.6577826,1.6475395,19.061745,.146386,-1.332,31.541397,-13.742168
1998,3,3.8247955,11.645123,2.7027924,19.875523,.18984552,-1.1960001,32.252392,-14.922178
1998,6,1.4909898,-.28070757,3.6140246,20.99194,.2016594,-1.1900001,32.626278,-14.381964
1998,9,1.5921977,-14.364507,1.5566605,19.227255,.71693808,.35666665,34.114365,-16.143318
1998,12,4.1307316,18.028288,-.14967036,17.797609,.38301143,-.41571429,35.226517,-19.660328
1999,3,4.1249666,2.7895408,2.9731965,20.674416,.078007706,-1.1757143,36.383911,-18.558077
1999,6,4.5610456,4.6440358,5.3438659,23.318844,.13414413,-1.5857142,37.173756,-19.350666
1999,9,-1.4409854,-2.7863202,1.2822402,19.969946,.66341597,-1.5142857,37.80183,-18.078266
1999,12,7.6010108,14.72323,3.2791226,22.200985,.28989187,-1.7571429,40.367725,-18.599266
2000,3,5.9878979,-.1730967,6.0510287,25.716963,-.11806833,-2.1085715,41.043755,-18.679321
2000,6,2.9589441,-5.1916142,8.1750317,28.056711,.6793257,-1.3128572,42.027641,-18.165548
2000,9,-6.1683321,-7.0161805,13.243441,33.621281,.21157475,-1.5685714,41.968807,-18.334455
2000,12,1.1108125,-8.3417826,11.39311,31.951221,.25505334,-1.27,41.42205,-16.416536
2001,3,-7.3750119,-14.670268,17.989969,38.869766,.39936188,.01714286,39.900192,-16.439766
2001,6,-3.3652518,1.8064995,19.425364,40.279812,.21211766,.77714288,38.395874,-16.866531
2001,9,-9.8663454,-16.767853,15.741164,36.860428,.25555497,1.3742857,37.315655,-15.872181
2001,12,.80519056,8.4596891,17.807007,38.640327,.094064578,1.5228572,36.411972,-15.061571
2002,3,4.2702179,.46820787,18.582268,39.337307,.22228213,1.7071428,37.827972,-16.958305
2002,6,-6.4259119,-9.8061237,7.9213567,28.862043,.12731098,1.9128572,39.609009,-17.635775
2002,9,-11.75588,-20.530157,8.1677742,29.424391,.12737843,1.9299428,39.521011,-17.708744
2002,12,-4.9586201,7.191895,3.8367634,25.192636,.11610189,1.9688715,39.247402,-17.577667
2003,3,-.52237582,-5.4163222,2.1921158,23.597574,.017325645,1.7413428,39.916939,-17.85605
2003,6,1.8153828,15.849235,-1.8486954,19.580328,.17914198,1.5642858,39.394756,-17.732624
2003,9,.56362128,4.9650311,-4.1910195,18.036057,.13453084,1.2937857,40.278267,-17.080975
2003,12,6.0973139,13.342323,-10.453379,11.88792,.1351811,1.2924428,41.115673,-17.411215
2004,3,-.60817206,2.7514787,-9.3098125,13.452275,.061849412,1.0157143,41.476162,-17.2656
2004,6,1.932919,.29282182,-7.7092266,15.6246,.2438677,.80470002,41.888195,-16.114532
2004,9,1.9770941,-.79029936,-9.8459167,13.814178,.23808399,.47544286,42.813587,-18.36301
2004,12,3.6763961,11.203413,-17.580809,6.7934918,.19545352,-.10792857,44.703671,-21.288824
2005,3,-2.3848045,-1.4178125,-14.002061,10.729523,.16833815,-.64247143,45.689621,-20.781982
2005,6,.82841897,.12690656,-8.7473488,15.944012,.34793362,-.98724288,46.371235,-20.671284
2005,9,2.7174046,6.6908293,-9.0653944,17.557928,.37062725,-1.3969715,44.445129,-17.60269
2005,12,2.141247,2.511169,-6.6784077,19.552923,.15609393,-1.8589143,47.325214,-20.627752
2006,3,1.7677196,5.827817,-8.3205595,18.234966,.29503471,-1.9181429,47.652988,-20.366861
2006,6,-.38922265,-1.7572975,-13.460587,13.466481,.38411292,-2.0709143,48.336102,-20.259087
2006,9,.78083086,3.2709389,-12.173406,14.940386,.30639851,-1.7737571,48.48888,-21.54925
2006,12,1.8381432,7.5786562,-14.790235,12.235078,.16435789,-1.6412286,49.370174,-20.168438
2007,3,1.6027,1.3004947,-15.617541,11.958784,.18832368,-1.3854429,50.069359,-22.040342
2007,6,-.64797097,5.9065356,-17.403967,10.795048,.3890622,-.9389714,50.846649,-23.140787
2007,9,4.9192348,2.3265464,-23.021719,5.4733639,.73247522,-.1077143,51.418232,-23.297451
2007,12,-1.3286116,-2.5742252,-23.897589,4.7243433,.9571383,.56265712,51.593609,-23.364464
2008,3,-1.5945988,-10.43448,-29.355011,-.37711412,.75605994,2.2281284,50.750919,-22.498917
2008,6,-8.6922493,-1.6880783,-28.317146,1.3748158,.64553833,2.1553285,49.190735,-21.94425
2008,9,-13.439442,-18.460543,-18.861799,10.703783,3.4320569,2.4102287,42.684898,-17.383732
2008,12,3.621254,-25.314493,-11.665494,15.333256,.46148559,1.2651429,39.399578,-21.490194
2009,3,7.9679661,-11.185751,-8.1052675,19.235907,.51621652,.58661431,34.750538,-23.92741
2009,6,-.52249658,20.279118,-14.858854,13.096194,.34175491,.48677143,32.544987,-21.375969
2009,9,4.5085044,16.500149,-20.919863,7.5478415,.30881941,.49112856,35.507751,-22.695808
2009,12,2.0938885,4.6182275,-19.878044,8.9689827,.31020203,.59694284,36.528915,-23.750509
2010,3,6.2824326,3.1735418,-17.234226,10.83645,.17951865,.46514288,38.697086,-22.466455
2010,6,-3.0835268,-12.757516,-12.114418,15.726514,.26759404,.43184286,40.665092,-23.254845
2010,9,9.1636219,13.468207,-20.289888,7.8048315,.092599213,.65794283,41.638721,-23.965799
2010,12,7.1025019,8.4626904,-20.01189,8.2038498,.14707053,.74297142,42.366119,-23.256836
2011,3,-.056561299,4.3981986,-24.606577,3.9849732,.16806966,1.0731572,42.786221,-26.320145
2011,6,-1.5448545,.39499065,-26.216494,2.8224695,.10334986,1.1698714,42.942738,-25.540501
2011,9,-9.8651133,-19.009415,-20.938129,8.4243832,.19704205,.77912855,44.007278,-25.366793
2011,12,-.14885493,7.0660224,-19.729425,9.7515306,.11368589,.60833335,45.16613,-27.707188
2012,3,.71132475,11.343909,-21.384228,7.9779882,.1348359,.55962861,45.537453,-27.861885
