"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1997-11","Nov-1997","IDX","Index","0","Units","2015_100","2015=100",84.36899,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1997-12","Dec-1997","IDX","Index","0","Units","2015_100","2015=100",84.64428,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1998-01","Jan-1998","IDX","Index","0","Units","2015_100","2015=100",84.022,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1998-02","Feb-1998","IDX","Index","0","Units","2015_100","2015=100",85.05681,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1998-03","Mar-1998","IDX","Index","0","Units","2015_100","2015=100",85.89471,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1998-04","Apr-1998","IDX","Index","0","Units","2015_100","2015=100",85.51804,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1998-05","May-1998","IDX","Index","0","Units","2015_100","2015=100",84.83503,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1998-06","Jun-1998","IDX","Index","0","Units","2015_100","2015=100",84.78286,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1998-07","Jul-1998","IDX","Index","0","Units","2015_100","2015=100",83.45911,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1998-08","Aug-1998","IDX","Index","0","Units","2015_100","2015=100",85.60257,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1998-09","Sep-1998","IDX","Index","0","Units","2015_100","2015=100",85.84602,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1998-10","Oct-1998","IDX","Index","0","Units","2015_100","2015=100",86.01992,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1998-11","Nov-1998","IDX","Index","0","Units","2015_100","2015=100",86.26204,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1998-12","Dec-1998","IDX","Index","0","Units","2015_100","2015=100",87.62858,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1999-01","Jan-1999","IDX","Index","0","Units","2015_100","2015=100",88.60587,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1999-02","Feb-1999","IDX","Index","0","Units","2015_100","2015=100",88.52187,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1999-03","Mar-1999","IDX","Index","0","Units","2015_100","2015=100",88.19093,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1999-04","Apr-1999","IDX","Index","0","Units","2015_100","2015=100",88.72947,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1999-05","May-1999","IDX","Index","0","Units","2015_100","2015=100",88.56413,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1999-06","Jun-1999","IDX","Index","0","Units","2015_100","2015=100",89.77979,,
