 Line, Type of investment,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted
 Line, Type of investment,2006,2006,2006,2006,2007 ,2007 ,2007 ,2007 ,2008,2008,2008,2008,2009 ,2009 ,2009 ,2009 ,2010,2010,2010,2010,2011 ,2011 ,2011 ,2011 ,2012,2012,2012,2012,2013 ,2013 ,2013 ,2013 ,2014,2014,2014,2014,2015 ,2015 ,2015 ,2015 ,2016,2016,2016,2016,2017 ,2017 ,2017 ,2017 ,2018,2018,2018,2018,2019 ,2019 ,2019 ,2019 ,2020,2020
 Line, Type of investment,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 
1,U.S. net international investment position (line 4 less line 36),-1655616,-1678770,-2005759,-1807819,-1654166,-1421382,-1231443,-1278830,-1849030,-1834418,-3309018,-3994625,-3856030,-3199376,-2669479,-2626940,-2769046,-3180635,-2746288,-2511072,-2638416,-2785304,-4134034,-4454616,-4546660,-5220622,-4952111,-4517094,-5041011,-5463827,-4928606,-5367563,-5427447,-5408562,-6140811,-6944154,-6868829,-6772449,-7299578,-7460181,-7754542,-8205746,-7983363,-8129303,-7912846,-7775667,-7525468,-7622208,-7715094,-8776068,-9539807,-9674443,-10144995,-10487872,-10935439,-11050506,-12163277,-13045854
18,          Foreign exchange contracts,139673,159565,148117,176267,169301,196449,279826,290943,436499,349048,356026,497234,328970,298959,331814,277387,253008,298553,358225,330298,319793,322563,428956,323413,281791,270609,264810,280217,276419,268643,258064,307972,271878,221292,403294,419019,473159,350913,366623,346231,381189,424138,283852,387942,272056,297283,281092,264381,260655,334271,301474,303617,284412,281039,313542,288123,481338,315613
19,          Other contracts,189904,209161,221581,244030,264316,315878,470717,772046,1343419,1401280,1179425,1514584,1473511,943090,714577,586484,519531,542680,481227,446977,428886,422033,570056,483533,414992,416891,366486,332319,319634,304580,289097,283930,272952,252421,238209,277449,248094,206964,213637,200842,187502,176133,168422,160064,161492,168222,180174,169307,179237,160087,175625,176434,157661,160592,162786,169679,298213,189130
20,        Exchange-traded contracts,21233,25313,21109,25641,23478,30040,33121,33257,43293,62853,50568,62276,36386,32631,32132,29083,42915,31207,29069,30512,33539,30847,62713,48051,46301,47381,42038,33980,35808,46337,43192,36788,35831,34419,43727,70122,68232,53245,57365,43568,46530,60600,43082,36665,35549,37586,42052,63874,52039,64194,63332,40691,30990,38653,40258,35096,87781,50911
21,      Other investment,3651554,3761084,3840522,4004691,4318273,4633616,4624272,4748656,5096342,5032817,4966742,4974882,4697803,4465680,4545341,4529716,4571575,4666733,4832743,4980804,5143315,4945787,4899418,4869469,4674014,4335687,4420934,4417488,4425923,4333898,4257499,4353632,4375235,4309978,4396875,4251213,4246561,4151733,4112570,3977771,4029755,4148987,4128412,3990657,4076881,4187182,4301170,4267261,4427309,4286293,4241855,4457586,4590193,4589328,4684590,4673402,5382783,5202147
22,        Other equity,45012,45144,45452,45662,45942,47095,47173,47243,47331,48384,48488,48549,48662,49942,50000,50117,50207,51522,51830,52024,52104,53421,53638,53747,53877,55630,55880,55906,55943,57798,57858,57936,57936,59306,59782,59994,62080,62081,62091,62091,63580,63791,63811,63838,64673,64707,65344,65344,65344,66622,66673,66673,66673,68021,68039,68039,69338,69348
23,        Currency and deposits,1832846,1946964,1925535,1960739,2040551,2152163,2162639,2316936,2411026,2533051,2539804,2813073,2593808,2469379,2459396,2539562,2568408,2579753,2645762,2767247,2857023,2660233,2622641,2581531,2387671,2047290,2081403,2061681,2035561,2017574,1969225,1975717,1962172,1917515,1935765,1807094,1761380,1749274,1686260,1632883,1713905,1733903,1644446,1572334,1622387,1665711,1755686,1773901,1838210,1791887,1797061,1854122,1864011,1904011,1929652,2010643,2534320,2386264
24,        Loans,1737990,1732062,1833575,1960904,2193628,2390921,2370766,2336091,2590950,2400030,2329694,2068858,2008240,1902276,1992628,1894958,1909161,1988666,2088650,2110455,2187936,2186135,2168813,2179093,2180056,2178850,2229827,2244177,2279504,2199411,2169562,2266610,2308229,2283432,2353567,2337094,2377600,2295407,2318496,2238044,2204157,2305619,2372451,2309092,2339512,2406476,2428468,2376520,2472184,2375338,2327698,2484431,2609098,2567729,2632871,2541376,2730567,2703118
25,        Insurance technical reserves,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
26,        Trade credit and advances,35706,36914,35960,37386,38152,43437,43693,48385,47035,51353,48755,44402,47093,44083,43317,45079,43800,46792,46501,51078,46252,45998,54327,55098,52410,53917,53824,55724,54915,59115,60853,53370,46899,49725,47762,47032,45500,44970,45723,44753,48114,45674,47704,45393,50309,50288,51673,51496,51572,52445,50423,52360,50411,49567,54027,53344,48559,43417
27,      Reserve assets,206293,217052,211620,219853,228280,224869,252007,277211,308493,307579,291785,293732,303312,314516,383368,403804,407947,438549,463609,488673,503346,529062,559845,537037,572578,556620,606277,572368,553058,446207,483426,448333,470884,477865,443987,434251,418485,415377,400352,383601,432011,454415,457105,405785,433093,435670,448217,449703,461349,440925,423036,449070,452735,485635,504859,514411,537473,585092
