"Table 1.2. U.S. Net International Investment Position at the End of the Period, Expanded Detail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars]    NOTE:  End of quarter positions begin in the fourth quarter of 2005. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: September 29, 2020 - Next Release Date: December 29, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,Type of investment,1976,1977 ,1978,1979 ,1980,1981 ,1982,1983 ,1984,1985 ,1986,1987 ,1988,1989 ,1990,1991 ,1992,1993 ,1994,1995 ,1996,1997 ,1998,1999 ,2000,2001 ,2002,2003 ,2004,2005 ,2006,2007 ,2008,2009 ,2010,2011 ,2012,2013 ,2014,2015 ,2016,2017 ,2018,2019 
25,        Insurance technical reserves,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
26,        Trade credit and advances,n.a.,n.a.,11357,12901,14720,15043,11041,11131,10647,9985,9992,10600,12165,13876,15475,17380,18564,21388,23991,25111,28374,31169,31202,36411,37126,31795,30374,33602,32715,33556,37386,48385,44402,45079,51078,55098,55724,53370,47032,44753,45393,51496,52360,53344
27,      Reserve assets,44094,53376,69450,143260,171412,124568,143445,123110,105040,117930,139875,162370,144179,168714,174664,159223,147435,164945,163394,176061,160739,134836,146006,136418,128400,129961,158602,183577,189591,188043,219853,277211,293732,403804,488673,537037,572368,448333,434251,383601,405785,449703,449070,514411
28,        Monetary gold,36944,45781,62471,135476,155816,105644,120635,100484,81202,85834,102428,127648,107434,105164,102406,92561,87168,102556,100110,101279,96698,75929,75291,75950,71799,72328,90806,108866,113947,134175,165267,218025,227439,284380,367537,400355,433434,314975,315368,277189,299652,337595,334457,396106
29,        Special drawing rights,2395,2629,1558,2724,2610,4096,5250,5025,5641,7293,8395,10283,9637,9951,10989,11240,8503,9039,10039,11037,10312,10027,10603,10336,10539,10783,12166,12638,13628,8210,8870,9476,9340,57814,56824,54956,55050,55184,51941,49688,48883,51864,50803,50749
30,        Reserve position in the International Monetary Fund,4434,4946,1047,1253,2852,5054,7348,11312,11541,11947,11730,11349,9745,9048,9076,9488,11759,11818,12030,14649,15435,18071,24111,17950,14824,17869,21979,22535,19544,8036,5040,4244,7683,11385,12492,30080,34161,30750,25164,17609,18385,17633,22016,26153
31,        Other reserve assets,321,20,4374,3807,10134,9774,10212,6289,6656,12856,17322,13090,17363,44551,52193,45934,40005,41532,41215,49096,38294,30809,36001,32182,31238,28981,33651,39538,42472,37622,40676,45466,49270,50225,51820,51646,49723,47424,41778,39115,38865,42612,41794,41403
32,          Currency and deposits,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,20500,24295,22616,16036,17614,19886,18025,21562,21847,26673,24934,20889,19003,17555,17728,25649,27334,29269
33,          Securities,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,9956,11176,15572,17732,18637,20487,23095,23482,25039,24973,23471,21436,22775,21560,21137,16963,14460,12134
34,          Financial derivatives,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,n.a.,n.a.,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....
