Table 1.1. U.S. International Transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: September 18, 2020 - Next Release Date: December 18, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Line, ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted
21,  Portfolio investment assets,266,166,111,120,135,246,124,257,196,308,87,378,522,536,100,-53,-20,206,-2,494,198,147,209,205,437,115,115,53,265,261,419,363,449,283,318,519,366,498,546,139,306,-80,517,333,408,368,346,-9,476,318,-203,28,-55,86,196,445,600,272,282,699,1931,985,938,2393,2467,1405,2751,2262,749,1784,2177,749,1115,1094,510,907,2312,1089,7170,1859,2450,4068,-1240,764,4352,5048,2229,4021,6953,307,132,5003,46,490,1921,-394,126,1141,-1311,3542,3310,-258,2846,-2890,4457,3813,1536,-822,-1744,1120,1781,6746,230,-1728,21,6066,3730,4633,10384,12419,-117,13725,9996,6953,8301,2976,15444,5332,2723,7072,20235,20654,23499,27339,50395,36684,9979,11796,10605,21708,15374,30351,53080,44701,38574,27343,45401,48861,25801,31607,57950,5678,27610,44056,-11139,71659,-578,70669,46942,23974,41619,28526,46849,42719,35356,44656,-9868,36775,14587,42115,-9506,32336,11012,42216,13261,66571,44589,53688,46656,47023,60613,61965,58471,86242,100461,109822,145027,138056,97818,173884,131122,-22018,26446,-6532,-139775,-164407,71200,138043,144273,22368,78773,-1863,49064,73645,115962,69344,-43647,-56295,2218,54810,131686,60047,152224,168818,14954,145302,102090,204484,128515,147587,221847,113617,-97440,-77613,-66569,146347,-33551,-9944,141588,154279,175975,97533,289989,-17704,83451,-20473,-40720,45025,20460,21806,115814,-29818
22,  Other investment assets,310,648,647,1036,791,-4,657,1285,987,332,64,506,436,1387,91,1146,1188,1226,1095,1785,555,56,28,531,257,718,62,715,683,940,666,1407,686,1157,585,816,471,1384,36,1005,662,1142,103,1244,963,1342,1632,2155,1580,380,1318,2849,4477,1448,736,4346,6146,7944,1887,6396,4508,4595,2214,7046,5390,6733,3988,11766,-1789,6526,1516,10807,9582,982,6592,25023,-2313,7525,15621,6434,2997,18472,15653,16428,12198,12487,14580,44432,25696,42385,23549,14335,27284,641,5974,16689,5838,21998,-17979,7483,-676,-2184,-1906,23723,3168,13778,26406,35705,-10908,21420,17268,17728,-6579,22567,34745,24811,33908,-16232,26491,31309,-51319,19239,17555,25861,-12472,-3851,-5047,21580,-12978,429,-9940,1850,-17973,-3938,-11120,10335,1148,22486,3862,22532,24754,69938,-29434,35008,18115,25161,30539,94198,101864,36426,39490,80846,4540,47938,47155,-27417,20771,62726,14437,48934,130499,28766,-1966,84009,145652,13920,-70876,39746,22494,59591,-25967,860,48728,68544,-53715,-19206,232663,42558,71242,149041,15091,118100,162818,-38799,228954,78412,79218,163245,288421,300926,-18611,87914,119417,-267851,-40559,-192762,-270164,-255775,29388,-113102,76668,93790,151867,85128,139558,-218041,53384,-20201,-191232,-321906,77007,-17391,-14074,-87718,-87119,-32331,18113,-70261,101833,-149605,42049,-159038,-27863,-113979,30010,99506,-23851,-108620,90074,84331,93177,-52455,88959,-103719,-47872,232649,136855,-3980,94305,-26128,724354,-158606
23,  Reserve assets,-159,-175,-740,-1071,-371,320,212,-768,-427,163,-881,-390,-32,-124,-227,5,51,-303,-70,151,-843,-69,-42,-271,-424,-68,-83,5,-1027,419,375,180,-912,135,572,1075,45,298,685,151,386,-1025,-802,-1040,-151,-839,-1377,18,90,60,-96,-50,-213,-11,23,43,246,358,1002,-139,327,28,333,161,777,1580,408,-207,420,24,-112,43,-187,-248,-115,-182,3585,-322,-2779,649,3268,-502,1109,4279,4529,905,4,-262,1089,1132,794,1950,787,-16,-529,953,657,566,799,1110,233,356,121,3148,115,-16,-280,-132,-1956,-3419,-32,-3741,-1503,-39,7380,-1925,4000,12095,5996,3202,3177,-371,-1739,1091,353,-1014,-3877,-1225,1057,-1464,-1952,-1542,983,-822,545,673,59,-3537,165,-2033,5318,2722,1893,-191,-17,523,-7489,315,-4480,236,730,4524,444,1945,2025,2369,-4068,-1159,-1951,-1569,554,-2020,346,1410,-190,1343,3559,199,-390,1843,1416,812,-83,170,611,-2221,-557,-1122,-429,-697,-5331,797,-4765,-4796,-513,560,-1006,-1415,72,-26,54,22,276,1267,179,3126,982,3632,49021,-1379,773,165,1096,-200,3619,6267,4079,1912,1233,3289,833,-895,875,-191,-1001,-2782,-956,773,-889,-2511,-4159,-877,-266,-990,-1191,189,1642,1450,-241,150,-61,-1539,-7,3068,-177,2105,208,2359,1882,210,-245,4960
24,Net U.S. incurrence of liabilities excluding financial derivatives (net increase in liabilities / financial inflow (+)),738,889,557,110,207,585,1163,750,412,581,37,882,794,1372,583,468,15,477,1214,1937,-213,-281,844,391,25,1228,1043,1365,195,2021,2546,2617,1072,2639,3122,3095,3103,4587,4074,938,2574,1767,2135,750,3175,5913,9194,5405,4858,4730,6859,5724,10743,3056,2167,2422,6444,9897,9310,9577,2700,4307,2934,6929,7710,8425,9062,12643,2968,14672,14585,20545,18460,1412,17390,29013,3472,7378,25063,4780,10180,10994,14599,26263,10303,14907,17211,43263,27408,41203,23231,18055,17157,19300,21353,37905,27384,49751,10122,39156,18942,30266,37856,59480,39312,53543,67735,63264,45542,59114,82669,64538,29441,73972,54616,85979,67005,11682,80633,70982,-22301,44879,74690,64841,10929,12857,46263,49537,31154,54934,42720,50034,29461,61405,96033,91708,90896,56717,85621,79761,99787,123112,117948,105546,84211,103463,146930,224423,170974,144706,176601,228718,77680,154979,84206,136036,114552,255265,166439,228959,258248,252723,243575,311529,322347,216942,27827,221229,178588,251969,167520,223767,251674,226172,141477,292336,478580,345753,293332,483216,235906,325453,431330,284367,584071,431879,532998,571531,788716,738059,298567,364744,473022,751,95977,-107342,-109333,-12262,347094,100145,320671,187676,560657,322038,597879,130344,252468,2830,189067,-122269,298458,266778,256177,249697,173580,372614,305656,300203,374010,129574,430145,185302,-35708,-76271,134940,363424,256364,-48035,412197,450534,507876,175674,446019,-132234,117795,326711,157685,319034,241764,79477,953794,-3334
25,  Direct investment liabilities,88,104,103,20,68,88,67,88,90,133,68,55,42,114,115,-40,88,114,65,55,186,-9,158,79,146,144,-24,160,170,186,135,207,365,144,154,145,356,279,267,361,582,224,364,294,196,140,-293,325,-136,373,309,402,631,835,539,795,1784,539,1610,828,278,870,86,1369,1472,1086,999,790,980,965,1023,760,1355,2313,2620,1608,1553,3353,3382,3588,3321,5756,4713,3128,3146,5294,5505,11251,2765,9153,7813,7744,2541,6538,5306,4303,9462,15961,7395,2014,6072,5740,4893,5352,1845,5784,5992,17325,16758,10686,20641,15147,6341,13502,16066,21001,19569,16436,18627,21169,16950,17784,20382,16131,7415,14220,12334,566,3027,11117,10687,5484,12990,14192,22754,275,7291,6205,18091,24355,12869,13615,19213,23370,28394,19037,18918,31295,27353,27634,27857,39306,19074,20831,32503,138744,34994,148813,61137,67505,67560,97828,78490,105247,50725,69413,17384,34974,29848,27838,21114,32255,47933,2981,10727,55465,45096,46780,53297,68469,40595,11568,43942,46240,82781,89838,63053,62792,111808,85879,114976,33952,105321,87251,86597,61922,7116,55788,66424,31754,45268,37740,109888,71143,74215,79214,63582,46488,48096,94984,44902,62361,36556,102489,79283,69804,-69815,83087,116314,122270,244497,120575,71368,74996,139020,178717,142690,13960,99109,95425,107474,64987,65303,12392,140712,43073,116938,101268,80919,52504,53688,-7066
26,  Portfolio investment liabilities,197,27,138,211,88,-195,589,227,133,451,627,267,133,686,169,-35,-681,-114,519,477,-726,-496,-6,598,-694,-37,-253,7,517,356,1013,1258,-19,-192,1698,2293,-19,-255,2330,-1337,2078,2077,3456,4099,5534,7363,10555,5383,4098,1074,6092,1859,10373,-2174,-594,-2815,-278,3269,-88,2597,7263,1288,564,3646,4208,2713,4940,4304,7383,5935,9641,14656,14716,-3080,2889,15558,-4543,-12384,8320,-4895,1918,4433,6054,11420,10179,2859,-3018,7489,994,3900,8509,6292,6264,6343,37,5738,2934,7090,6851,21820,3945,18629,19540,25890,25488,40202,25807,13000,26619,26289,10441,16282,35413,21318,6121,23934,27200,3097,36444,8111,-7965,6756,9213,17763,10687,24986,14182,22707,20513,33150,8371,30165,26548,30525,42512,74802,36721,20700,26129,48299,54886,73417,84572,41556,80304,60054,97177,154572,81647,85502,107999,35957,72430,74948,-2271,80771,34340,48964,111701,83692,134402,70703,108863,127998,121347,97661,69079,143405,105962,159177,118453,120563,98883,192011,82599,176670,220812,223468,162890,260169,185008,160648,215051,271331,246292,264826,304112,311505,376689,393364,73339,313221,234853,222919,25970,39941,95940,71704,72049,117659,187308,131528,328881,172716,149211,105650,77147,-20383,249786,7887,222636,266708,150986,-8446,200041,169406,248795,92657,230481,125673,107435,243152,-146760,10083,-52859,4754,217765,61605,160102,259549,294391,76754,301122,-18368,12157,8164,-18569,146049,105660,-53160,-20547,338957
27,  Other investment liabilities,453,758,316,-121,51,692,507,435,189,-3,-658,560,619,572,299,543,608,477,630,1405,327,224,692,-286,573,1121,1320,1198,-492,1479,1398,1152,726,2687,1270,657,2766,4563,1477,1914,-86,-534,-1685,-3643,-2555,-1590,-1068,-303,896,3283,458,3463,-261,4395,2222,4442,4938,6089,7788,6152,-4841,2149,2284,1914,2030,4626,3123,7549,-5395,7772,3921,5129,2389,2179,11881,11847,6462,16409,13361,6087,4941,805,3832,11715,-3022,6754,14724,24523,23649,28150,6909,4019,8352,6419,16010,27864,14988,26700,-4124,15322,8925,5897,13423,28238,11979,7557,35936,32939,2165,22139,51587,33109,-12313,39152,32429,41044,20236,-7851,25562,41702,-31286,20339,45095,30947,-7173,-26349,19747,26264,7614,10667,23662,14385,-10077,16688,30767,16631,46884,29812,41401,7107,32032,36080,14163,40620,-24487,24372,30835,38556,61974,31570,40745,153455,-13824,59200,53974,-83479,45218,57488,-6399,77762,56286,84192,56222,78284,150275,49868,-58636,42850,42778,64954,27953,70949,104857,31180,48151,60202,212671,75505,77145,154578,10303,153238,172337,-33204,254998,77215,165833,197234,300219,258817,110252,17571,132848,-309419,-16590,-209205,-212388,-139753,208621,-49268,88095,18408,121888,78179,374453,-54520,111740,-23276,-108816,-225140,30920,-62291,68636,155653,-105744,133403,126676,124458,27214,-118369,78214,-178425,39685,-161350,48779,179952,-104091,-123600,152986,95560,106011,33933,79595,-126259,-35075,275474,59315,71717,55185,80133,920653,-335225
28,"Financial derivatives other than reserves, net transactions /2/",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1633,-14090,-15134,1147,-14795,1007,-5942,13508,7966,2355,4886,17740,-7146,-7561,-10645,-19464,-16152,-9980,11893,163,-2952,-9806,1617,-23865,7339,-2419,5129,-2985,-3948,-3302,6569,2903,6105,-4423,-24304,-31713,-40197,1701,722,10739,10782,608,3437,-7000,-5609,9306,18600,1701,29139,-15723,-11505,-22315,-21383,-9642,-6382,-933,-21611,60256
 ,Statistical discrepancy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,Statistical discrepancy /3/,-43,-216,-197,-563,-151,-403,162,-597,145,-152,-428,-688,68,35,-299,-165,-39,13,-257,-624,315,63,-405,-430,217,163,383,-134,117,-315,222,-229,-57,-222,655,62,-962,-465,-366,276,75,-224,-156,86,-769,-2331,-4658,-2021,1185,-573,-1015,-1476,-3572,558,-167,527,-2511,227,841,-1001,3621,14,157,925,2192,1158,3838,1946,945,-204,-3071,-1321,2818,7753,-1361,787,4700,8292,4550,8105,5994,14032,4249,-1661,10344,7681,1821,3587,9125,5343,12737,11157,14089,-4183,8736,-976,3757,8480,5285,1151,8434,3679,3415,3149,7405,9579,4605,8981,-14902,11319,-9974,6408,-5587,-18946,31221,-23796,11676,23684,9575,7364,3188,15199,10834,-1155,-12355,-15796,-51,-13399,-18560,-22100,302,-3418,5927,7780,-2940,-4454,-29673,18749,-8609,18019,-6596,29258,-32409,40698,17067,-905,-5618,-20250,9212,-15781,-2195,-69231,33069,37380,53989,23668,33835,2004,55824,-37227,53975,-42873,-43679,-39681,-13419,-23439,43788,-27050,6883,24483,-31553,-42547,-30273,69852,15558,-64905,26146,-5296,69572,7592,57597,97170,-26566,-93978,31361,6596,-8664,-30775,-62700,36905,112841,22719,-34820,24022,21451,-61012,75677,75624,78460,-83534,16213,88820,-97132,-15382,-100478,-2559,-27078,68465,-151509,72267,130796,-82402,37370,67025,-27272,-133804,-26646,18532,62968,22425,-22583,-22926,99302,28358,21026,106823,-92851,2839,19442,2040,-260,-2443,3870,5582,127428,-102716,34104,-29061,40198,45680,-26420,95337
29a,  Of which: Seasonal adjustment discrepancy,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....
 ,Balances, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30,Balance on current account (line 1 less line 9) /4/,401,630,357,1437,1282,1010,359,1170,741,1174,409,1063,1024,1326,323,1741,2033,1641,1027,2122,1347,1679,717,1687,1051,919,-134,1195,992,806,-69,855,393,519,-621,320,368,-14,-713,758,935,1112,-405,689,1179,-300,-1549,-763,-1131,-1656,-2634,-375,838,828,1029,4445,2209,578,-2520,1694,4554,5562,1889,6112,2765,2462,-2452,1521,-2476,-2130,-5256,-4474,-5879,-3390,-6575,701,1331,39,-2925,1270,-1611,-198,212,3915,2853,1465,-1635,2346,1459,3356,-6782,-3570,-157,-8195,-16387,-13952,-17241,-24389,-27635,-25079,-19705,-29699,-35232,-33519,-29992,-36700,-41710,-38774,-34214,-40453,-44641,-41347,-27289,-29233,-32784,-31847,-21729,-23816,-29301,-24641,-15895,-17772,-29191,-16111,17741,4298,-11584,-7558,1123,-10195,-22397,-20144,-7102,-19826,-28428,-29449,-17137,-27553,-39426,-37496,-22623,-32028,-35180,-23736,-17611,-30362,-45735,-31056,-25632,-29336,-43991,-41767,-33882,-51754,-69804,-59622,-52413,-67691,-86705,-79803,-84582,-96101,-114961,-106274,-96459,-95126,-113956,-88542,-90446,-114319,-127721,-123624,-123413,-128393,-143198,-127285,-125763,-156346,-174152,-179628,-155177,-182096,-203332,-208627,-183712,-206888,-235074,-190972,-183935,-192345,-191124,-169146,-160406,-180278,-202885,-152953,-83677,-87628,-111198,-97226,-86832,-114042,-133304,-97832,-100116,-122626,-128343,-104217,-96178,-116782,-117836,-87319,-72772,-92183,-103367,-68531,-71355,-91905,-106991,-97568,-84581,-102920,-123022,-96832,-91557,-101342,-113400,-88567,-70510,-106966,-98704,-89090,-78774,-99621,-139158,-132141,-106215,-131987,-140242,-101782,-97938,-171801
31,  Balance on goods and services (line 2 less line 10),589,986,418,1515,1347,1316,357,1174,932,1406,267,766,1009,1607,138,1456,1793,1675,695,1859,1051,1751,426,1436,992,1218,-267,996,1072,1052,-112,592,259,414,-677,254,13,109,-812,780,800,1072,-347,730,1141,-434,-1475,-533,-833,-1677,-2146,-787,-235,-98,-102,2335,1329,-1093,-4145,-384,3618,5076,326,3383,215,-462,-4001,-1834,-5881,-5450,-8190,-7726,-9689,-6543,-9170,-4361,-3652,-5752,-9002,-6160,-9430,-4386,-3832,-1759,-2584,-3911,-5581,-4096,-3372,-2367,-10761,-7656,-4919,-13289,-20873,-18686,-21948,-28835,-30897,-27394,-21193,-31287,-34645,-34754,-30402,-33957,-38680,-35500,-32148,-38678,-41701,-39156,-26980,-28396,-29787,-29403,-20627,-22468,-26342,-23705,-15919,-16560,-25841,-22545,-5642,-4591,-12122,-8781,1383,-8221,-17750,-14624,-7068,-16891,-25543,-20809,-14569,-23289,-32574,-28061,-19707,-29580,-27627,-19470,-14710,-26329,-39546,-23480,-19739,-24335,-36009,-28190,-25709,-41766,-55710,-42955,-44741,-60239,-79073,-71756,-78653,-87791,-105364,-97878,-87499,-86209,-98095,-88571,-81613,-102240,-118660,-118153,-113185,-121934,-135347,-125777,-124524,-149391,-168818,-168105,-151972,-172876,-196692,-195002,-176436,-193415,-215837,-177844,-162942,-179540,-190310,-178205,-164909,-188913,-212900,-145628,-84225,-85753,-117771,-107021,-102780,-134212,-150726,-115369,-118793,-145802,-154837,-135089,-125180,-141532,-144940,-114254,-98048,-118342,-131361,-99078,-101911,-127915,-136339,-117978,-108109,-124097,-138606,-120450,-109522,-121425,-131225,-118997,-111853,-133944,-137267,-130727,-122695,-134351,-165187,-157704,-126108,-156520,-167620,-126617,-113969,-166595
